"category","horizon","shock","crisis_type","beta","se","ci_lo","ci_hi","delta","se_delta","p_delta"
"Trigger (S-pandemic)",10,"S_pandemic_Gtrends","Pandemic",-0.0925235239822712,0.0251554417331862,-0.141828189779316,-0.0432188581852262,-0.216793152388252,0.048480134018621,0.00000775662784505807
"Trigger (S-pandemic)",10,"S_pandemic_Gtrends","Climate",0.169358036268322,0.11573231481269,-0.0574773007645501,0.396193373301195,0.0450884078623412,0.112053972680413,0.687403530825773
"Trigger (S-pandemic)",10,"S_pandemic_Gtrends","Geopolitical",0.517088711482629,0.364244561274777,-0.196830628615933,1.23100805158119,0.392819083076648,0.362290780092022,0.278247477552724
"Trigger (S-pandemic)",11,"S_pandemic_Gtrends","Calm",0.129300710964823,0.0393510064189599,0.0521727383836611,0.206428683545984,NA,NA,NA
"Trigger (S-pandemic)",11,"S_pandemic_Gtrends","Pandemic",-0.101849767695281,0.0252080603871753,-0.151257566054145,-0.0524419693364178,-0.231150478660104,0.0495195927555219,0.00000304354586831914
"Trigger (S-pandemic)",11,"S_pandemic_Gtrends","Climate",0.243720974739064,0.127628358423013,-0.00643060777004117,0.49387255724817,0.114420263774242,0.124015621755893,0.356201188365943
"Trigger (S-pandemic)",11,"S_pandemic_Gtrends","Geopolitical",0.484233169321208,0.356102335856095,-0.213727408956738,1.18219374759915,0.354932458356386,0.355510136965822,0.318097517089363
"Trigger (S-pandemic)",12,"S_pandemic_Gtrends","Calm",0.130042926251894,0.035361041387026,0.060735285133323,0.199350567370465,NA,NA,NA
"Trigger (S-pandemic)",12,"S_pandemic_Gtrends","Pandemic",-0.0865369391686842,0.0250283509382159,-0.135592507007587,-0.0374813713297811,-0.216579865420578,0.0455855713338517,0.00000202351297240282
"Trigger (S-pandemic)",12,"S_pandemic_Gtrends","Climate",0.159326479176248,0.1393247817943,-0.11375009314058,0.432403051493076,0.0292835529243542,0.137224501838444,0.831015865818331
"Trigger (S-pandemic)",12,"S_pandemic_Gtrends","Geopolitical",0.58161185477723,0.200476909975648,0.18867711122496,0.9745465983295,0.451568928525336,0.19966224713614,0.0237181668378572
"Trigger (S-pandemic)",13,"S_pandemic_Gtrends","Calm",0.0656556378479408,0.0286219735378043,0.00955656971384449,0.121754705982037,NA,NA,NA
"Trigger (S-pandemic)",13,"S_pandemic_Gtrends","Pandemic",-0.0457337564282358,0.0238500419751893,-0.0924798386996067,0.00101232584313524,-0.111389394276177,0.0386928093964145,0.00399173916580191
"Trigger (S-pandemic)",13,"S_pandemic_Gtrends","Climate",-0.0123048089225313,0.147977188698145,-0.302340098770895,0.277730480925833,-0.0779604467704721,0.147971044171871,0.598288830377741
"Trigger (S-pandemic)",13,"S_pandemic_Gtrends","Geopolitical",0.530256753046735,0.230330271240694,0.0788094214149755,0.981704084678494,0.464601115198794,0.22982889626603,0.0432271318099886
"Trigger (S-pandemic)",14,"S_pandemic_Gtrends","Calm",0.0395748004759688,0.029143896196746,-0.0175472360696534,0.0966968370215911,NA,NA,NA
"Trigger (S-pandemic)",14,"S_pandemic_Gtrends","Pandemic",-0.0455336908507462,0.0237086581048131,-0.0920026607361798,0.000935279034687389,-0.0851084913267151,0.0393935730567179,0.0307365812844071
"Trigger (S-pandemic)",14,"S_pandemic_Gtrends","Climate",-0.100744813105922,0.15078796916148,-0.396289232662423,0.194799606450578,-0.140319613581891,0.149953633138515,0.349400198584783
"Trigger (S-pandemic)",14,"S_pandemic_Gtrends","Geopolitical",0.265011234010916,0.21948457906529,-0.165178540957052,0.695201008978884,0.225436433534947,0.219275995295041,0.30390540160489
"Trigger (S-climate)",0,"S_wind_gust_max","Calm",0.0152430479460002,0.0139131227732281,-0.0120266726895269,0.0425127685815274,NA,NA,NA
"Trigger (S-climate)",0,"S_wind_gust_max","Pandemic",-0.00269949835852338,0.0135909297155552,-0.0293377206010115,0.0239387238839648,-0.0179425463045236,0.00506177928556373,0.00039304330814135
"Trigger (S-climate)",0,"S_wind_gust_max","Climate",0.0201532018067814,0.0437524755418864,-0.0656016502553158,0.105908053868879,0.0049101538607812,0.0384218677208527,0.898310562845724
"Trigger (S-climate)",0,"S_wind_gust_max","Geopolitical",0.113259725933162,0.0274723328833826,0.0594139534817325,0.167105498384592,0.0980166779871623,0.0248708860210349,0.0000811356049908163
"Trigger (S-climate)",1,"S_wind_gust_max","Calm",0.015127178098701,0.0186674431425722,-0.0214610104607404,0.0517153666581425,NA,NA,NA
"Trigger (S-climate)",1,"S_wind_gust_max","Pandemic",-0.017343239466741,0.0239205028806883,-0.0642274251128901,0.0295409461794081,-0.032470417565442,0.0154161205261835,0.0351814385058677
"Trigger (S-climate)",1,"S_wind_gust_max","Climate",0.0829750025551709,0.0401967033341534,0.00418946402023028,0.161760541090111,0.0678478244564699,0.0352014933057533,0.0539281502297823
"Trigger (S-climate)",1,"S_wind_gust_max","Geopolitical",0.0718229856759604,0.0443140558846496,-0.0150325638579528,0.158678535209874,0.0566958075772594,0.0410504764489174,0.167240767455835
"Trigger (S-climate)",2,"S_wind_gust_max","Calm",0.00612489272100528,0.018721077822308,-0.0305684198107183,0.0428182052527289,NA,NA,NA
"Trigger (S-climate)",2,"S_wind_gust_max","Pandemic",-0.029950380470947,0.0238589155816832,-0.0767138550110461,0.0168130940691522,-0.0360752731919523,0.0170474801068662,0.0343308144644187
"Trigger (S-climate)",2,"S_wind_gust_max","Climate",0.116671228552903,0.0414797370453206,0.0353709439440745,0.197971513161731,0.110546335831898,0.0379599884213332,0.00358915235417909
"Trigger (S-climate)",2,"S_wind_gust_max","Geopolitical",0.119081589761133,0.0894270911900197,-0.056195508971306,0.294358688493571,0.112956697040127,0.0906136133830698,0.212553243873312
"Trigger (S-climate)",3,"S_wind_gust_max","Calm",0.00774253150673999,0.0181162748662276,-0.027765367231066,0.043250430244546,NA,NA,NA
"Trigger (S-climate)",3,"S_wind_gust_max","Pandemic",-0.0341497071887848,0.027362195902479,-0.0877796111576436,0.0194801967800741,-0.0418922386955248,0.0187529058331892,0.0254892241774908
"Trigger (S-climate)",3,"S_wind_gust_max","Climate",0.0561290153981246,0.038286604158665,-0.0189127287528589,0.131170759549108,0.0483864838913846,0.0299339666668767,0.105999051313484
"Trigger (S-climate)",3,"S_wind_gust_max","Geopolitical",0.114620240998181,0.111818311933658,-0.104543650391789,0.33378413238815,0.106877709491441,0.116588756557352,0.359296285870403
"Trigger (S-climate)",4,"S_wind_gust_max","Calm",0.0182869479498398,0.0195568856328225,-0.0200445478904923,0.056618443790172,NA,NA,NA
"Trigger (S-climate)",4,"S_wind_gust_max","Pandemic",-0.0281077018181596,0.0289885342298276,-0.0849252289086218,0.0287098252723025,-0.0463946497679995,0.0194748682236789,0.0172056637278101
"Trigger (S-climate)",4,"S_wind_gust_max","Climate",-0.0874568881861132,0.128998210543156,-0.340293380850698,0.165379604478472,-0.105743836135953,0.118421898480555,0.371888463119792
"Trigger (S-climate)",4,"S_wind_gust_max","Geopolitical",0.0923835055976021,0.0890357034419807,-0.0821264731486801,0.266893484343884,0.0740965576477623,0.0940817947841357,0.430944794643606
"Trigger (S-climate)",5,"S_wind_gust_max","Calm",0.0165768940152031,0.0192401070007127,-0.0211337157061939,0.0542875037366,NA,NA,NA
"Trigger (S-climate)",5,"S_wind_gust_max","Pandemic",-0.0249983296294856,0.0261596826681771,-0.0762713076591128,0.0262746484001415,-0.0415752236446887,0.0192956598309854,0.0311899224055255
"Trigger (S-climate)",5,"S_wind_gust_max","Climate",0.0436819072998356,0.0306017968969013,-0.0162976146180909,0.103661429217762,0.0271050132846326,0.0171684792162485,0.114389712841565
"Trigger (S-climate)",5,"S_wind_gust_max","Geopolitical",-0.00149582921867359,0.104556316005691,-0.206426208589827,0.20343455015248,-0.0180727232338766,0.10135408098889,0.858477379170032
"Trigger (S-climate)",6,"S_wind_gust_max","Calm",0.000542744994245654,0.0149833799554779,-0.028824679718491,0.0299101697069823,NA,NA,NA
"Trigger (S-climate)",6,"S_wind_gust_max","Pandemic",-0.0319602870601007,0.0201390048590799,-0.0714327365838973,0.0075121624636959,-0.0325030320543463,0.0135056888572383,0.0161010076165685
"Trigger (S-climate)",6,"S_wind_gust_max","Climate",-0.0419969381601384,0.0153232431918318,-0.0720304948161288,-0.0119633815041481,-0.0425396831543841,0.00395987372252807,0.00000000000000000000000000641498183198367
"Trigger (S-climate)",6,"S_wind_gust_max","Geopolitical",0.0317285175166728,0.107967651057474,-0.179888078555977,0.243345113589323,0.0311857725224271,0.107276889973943,0.771278057909618
"Trigger (S-climate)",7,"S_wind_gust_max","Calm",0.0245041373357021,0.013241147196788,-0.00144851117000236,0.0504567858414067,NA,NA,NA
"Trigger (S-climate)",7,"S_wind_gust_max","Pandemic",-0.0109652144383895,0.019278769524646,-0.0487516027066956,0.0268211738299167,-0.0354693517740916,0.0147320223136243,0.016056167273835
"Trigger (S-climate)",7,"S_wind_gust_max","Climate",-0.0270727642856342,0.0224737148150141,-0.0711212453230619,0.0169757167517934,-0.0515769016213364,0.0212490324832262,0.0152133980634299
"Trigger (S-climate)",7,"S_wind_gust_max","Geopolitical",0.0740774410742867,0.0993631726679498,-0.120674377354895,0.268829259503468,0.0495733037385846,0.0987948242011158,0.615822020716509
"Trigger (S-climate)",8,"S_wind_gust_max","Calm",0.0171401517052841,0.0202121948698962,-0.0224757502397124,0.0567560536502805,NA,NA,NA
"Trigger (S-climate)",8,"S_wind_gust_max","Pandemic",-0.0225702296208964,0.0252604247922999,-0.0720806622138042,0.0269402029720114,-0.0397103813261805,0.0161440886643919,0.013903480507143
"Trigger (S-climate)",8,"S_wind_gust_max","Climate",0.0642696297823328,0.0280741265800619,0.00924434168541156,0.119294917879254,0.0471294780770488,0.026546983463042,0.0758445216332282
"Trigger (S-climate)",8,"S_wind_gust_max","Geopolitical",0.0364532137318289,0.0906007641569262,-0.141124284015747,0.214030711479404,0.0193130620265448,0.0934191463256864,0.836216363542161
"Trigger (S-climate)",9,"S_wind_gust_max","Calm",0.0153927261194995,0.0224143641325063,-0.0285394275802129,0.0593248798192119,NA,NA,NA
"Trigger (S-climate)",9,"S_wind_gust_max","Pandemic",-0.0185393449163107,0.0258148923276713,-0.0691365338785465,0.0320578440459252,-0.0339320710358102,0.0176089057327051,0.05398168459133
"Trigger (S-climate)",9,"S_wind_gust_max","Climate",0.119964812531437,0.0252362113738059,0.070501838238777,0.169427786824096,0.104572086411937,0.0289277550168798,0.000300417683067611
"Trigger (S-climate)",9,"S_wind_gust_max","Geopolitical",-0.0459244166881087,0.0829461631375822,-0.20849889643777,0.116650063061552,-0.0613171428076082,0.0777271203375512,0.430183859849956
"Trigger (S-climate)",10,"S_wind_gust_max","Calm",-0.00398949652602152,0.0229115378476385,-0.048896110707393,0.0409171176553499,NA,NA,NA
"Trigger (S-climate)",10,"S_wind_gust_max","Pandemic",-0.0443042072038742,0.0282723194337477,-0.0997179532940196,0.0111095388862713,-0.0403147106778527,0.0192184496037996,0.0359308778599332
"Trigger (S-climate)",10,"S_wind_gust_max","Climate",0.091945245838004,0.0328168945423822,0.0276241325349348,0.156266359141073,0.0959347423640255,0.0245299133071568,0.0000919419068040466
"Trigger (S-climate)",10,"S_wind_gust_max","Geopolitical",0.0225993640076378,0.0981288656240304,-0.169733212615462,0.214931940630737,0.0265888605336593,0.100895246487661,0.792142590939374
"Trigger (S-climate)",11,"S_wind_gust_max","Calm",-0.000289729902496539,0.0222603604817045,-0.0439200364466373,0.0433405766416442,NA,NA,NA
"Trigger (S-climate)",11,"S_wind_gust_max","Pandemic",-0.0527000924867699,0.0350411243760653,-0.121380696263858,0.015980511290318,-0.0524103625842734,0.0227989511584328,0.0215159657670902
"Trigger (S-climate)",11,"S_wind_gust_max","Climate",0.0563393185721109,0.0878208520873699,-0.115789551519134,0.228468188663356,0.0566290484746074,0.0777763765962704,0.466551833380042
"Trigger (S-climate)",11,"S_wind_gust_max","Geopolitical",0.144944268218738,0.147425799046966,-0.144010297913316,0.433898834350792,0.145233998121235,0.158429635631114,0.359294734245017
"Trigger (S-climate)",12,"S_wind_gust_max","Calm",-0.00918060074432085,0.0240204188182905,-0.0562606216281702,0.0378994201395285,NA,NA,NA
"Trigger (S-climate)",12,"S_wind_gust_max","Pandemic",-0.0599841486559791,0.0342154814082219,-0.127046492216094,0.00707819490413589,-0.0508035479116583,0.0205792800133211,0.0135614437419179
"Trigger (S-climate)",12,"S_wind_gust_max","Climate",0.115061180590717,0.0461871549835651,0.0245343568229294,0.205588004358505,0.124241781335038,0.0324612871281249,0.000129512865860179
"Trigger (S-climate)",12,"S_wind_gust_max","Geopolitical",0.0490530344752995,0.0538895128272779,-0.0565704106661653,0.154676479616764,0.0582336352196203,0.0655181625736747,0.374101614239715
"Trigger (S-climate)",13,"S_wind_gust_max","Calm",-0.0211465309873353,0.0168334958055695,-0.0541401827662516,0.0118471207915809,NA,NA,NA
"Trigger (S-climate)",13,"S_wind_gust_max","Pandemic",-0.0612505922806568,0.0199057373746949,-0.100265837535059,-0.0222353470262548,-0.0401040612933215,0.0135250009785882,0.0030250595586964
"Trigger (S-climate)",13,"S_wind_gust_max","Climate",0.0474403931568826,0.0176598650123158,0.0128270577327437,0.0820537285810215,0.0685869241442179,0.015257633956881,0.00000694872915239156
"Trigger (S-climate)",13,"S_wind_gust_max","Geopolitical",-0.02927617054598,0.0608588877514572,-0.148559590538836,0.090007249446876,-0.0081296395586447,0.0576809703120979,0.887916197066639
"Trigger (S-climate)",14,"S_wind_gust_max","Calm",0.000173893269854292,0.0156656369198794,-0.0305307550931094,0.030878541632818,NA,NA,NA
"Trigger (S-climate)",14,"S_wind_gust_max","Pandemic",-0.0355090096173704,0.0169739301325586,-0.0687779126771852,-0.00224010655755546,-0.0356829028872246,0.0107990661331908,0.000952280813664406
"Trigger (S-climate)",14,"S_wind_gust_max","Climate",0.0154772967483203,0.0249823325858309,-0.0334880751199082,0.0644426686165489,0.015303403478466,0.0142555397925549,0.283044274588774
"Trigger (S-climate)",14,"S_wind_gust_max","Geopolitical",-0.0077219042836918,0.0653163723298299,-0.135741994050158,0.120298185482775,-0.00789579755354609,0.0640279283678638,0.901855269343337
"Anticipation (O-news)",0,"O_news_count","Calm",0.0619344868753001,0.05910585347755,-0.0539129859406979,0.177781959691298,NA,NA,NA
"Anticipation (O-news)",0,"O_news_count","Pandemic",0.010282220873717,0.0386716003931031,-0.065514115896765,0.086078557644199,-0.051652266001583,0.0702398219496452,0.462114116780767
"Anticipation (O-news)",0,"O_news_count","Geopolitical",-0.00165833741351121,0.0135021184592889,-0.0281224895937175,0.0248058147666951,-0.0635928242888113,0.0604195130375817,0.292560444261537
"Anticipation (O-news)",1,"O_news_count","Calm",-0.0245284225342575,0.0385819086355802,-0.100148963459995,0.0510921183914797,NA,NA,NA
