date;city;Pandemic_severity_index
26/01/2018;Florianópolis;
26/01/2018;Itajaí;
26/01/2018;Chapecó;
26/01/2018;Lages;
26/01/2018;Caçador;
26/01/2018;Araranguá;
26/01/2018;Indaial;
26/01/2018;Xanxerê;
26/01/2018;São Miguel do Oeste;
26/01/2018;Laguna;
26/01/2018;Curitibanos;
26/01/2018;Rio Negrinho;
26/01/2018;Campos Novos;
26/01/2018;Itapoá;
26/01/2018;Joaçaba;
27/01/2018;Florianópolis;
27/01/2018;Itajaí;
27/01/2018;Chapecó;
27/01/2018;Lages;
27/01/2018;Caçador;
27/01/2018;Araranguá;
27/01/2018;Indaial;
27/01/2018;Xanxerê;
27/01/2018;São Miguel do Oeste;
27/01/2018;Laguna;
27/01/2018;Curitibanos;
27/01/2018;Rio Negrinho;
27/01/2018;Campos Novos;
27/01/2018;Itapoá;
27/01/2018;Joaçaba;
28/01/2018;Florianópolis;
28/01/2018;Itajaí;
28/01/2018;Chapecó;
28/01/2018;Lages;
28/01/2018;Caçador;
28/01/2018;Araranguá;
28/01/2018;Indaial;
28/01/2018;Xanxerê;
28/01/2018;São Miguel do Oeste;
28/01/2018;Laguna;
28/01/2018;Curitibanos;
28/01/2018;Rio Negrinho;
28/01/2018;Campos Novos;
28/01/2018;Itapoá;
28/01/2018;Joaçaba;
29/01/2018;Florianópolis;
29/01/2018;Itajaí;
29/01/2018;Chapecó;
29/01/2018;Lages;
29/01/2018;Caçador;
29/01/2018;Araranguá;
29/01/2018;Indaial;
29/01/2018;Xanxerê;
29/01/2018;São Miguel do Oeste;
29/01/2018;Laguna;
29/01/2018;Curitibanos;
29/01/2018;Rio Negrinho;
29/01/2018;Campos Novos;
29/01/2018;Itapoá;
29/01/2018;Joaçaba;
30/01/2018;Florianópolis;
30/01/2018;Itajaí;
30/01/2018;Chapecó;
30/01/2018;Lages;
30/01/2018;Caçador;
30/01/2018;Araranguá;
30/01/2018;Indaial;
30/01/2018;Xanxerê;
30/01/2018;São Miguel do Oeste;
30/01/2018;Laguna;
30/01/2018;Curitibanos;
30/01/2018;Rio Negrinho;
30/01/2018;Campos Novos;
30/01/2018;Itapoá;
30/01/2018;Joaçaba;
31/01/2018;Florianópolis;
31/01/2018;Itajaí;
31/01/2018;Chapecó;
31/01/2018;Lages;
31/01/2018;Caçador;
31/01/2018;Araranguá;
31/01/2018;Indaial;
31/01/2018;Xanxerê;
31/01/2018;São Miguel do Oeste;
31/01/2018;Laguna;
31/01/2018;Curitibanos;
31/01/2018;Rio Negrinho;
31/01/2018;Campos Novos;
31/01/2018;Itapoá;
31/01/2018;Joaçaba;
01/02/2018;Florianópolis;
01/02/2018;Itajaí;
01/02/2018;Chapecó;
01/02/2018;Lages;
01/02/2018;Caçador;
01/02/2018;Araranguá;
01/02/2018;Indaial;
01/02/2018;Xanxerê;
01/02/2018;São Miguel do Oeste;
01/02/2018;Laguna;
01/02/2018;Curitibanos;
01/02/2018;Rio Negrinho;
01/02/2018;Campos Novos;
01/02/2018;Itapoá;
01/02/2018;Joaçaba;
02/02/2018;Florianópolis;
02/02/2018;Itajaí;
02/02/2018;Chapecó;
02/02/2018;Lages;
02/02/2018;Caçador;
02/02/2018;Araranguá;
02/02/2018;Indaial;
02/02/2018;Xanxerê;
02/02/2018;São Miguel do Oeste;
02/02/2018;Laguna;
02/02/2018;Curitibanos;
02/02/2018;Rio Negrinho;
02/02/2018;Campos Novos;
02/02/2018;Itapoá;
02/02/2018;Joaçaba;
03/02/2018;Florianópolis;
03/02/2018;Itajaí;
03/02/2018;Chapecó;
03/02/2018;Lages;
03/02/2018;Caçador;
03/02/2018;Araranguá;
03/02/2018;Indaial;
03/02/2018;Xanxerê;
03/02/2018;São Miguel do Oeste;
03/02/2018;Laguna;
03/02/2018;Curitibanos;
03/02/2018;Rio Negrinho;
03/02/2018;Campos Novos;
03/02/2018;Itapoá;
03/02/2018;Joaçaba;
04/02/2018;Florianópolis;
04/02/2018;Itajaí;
04/02/2018;Chapecó;
04/02/2018;Lages;
04/02/2018;Caçador;
04/02/2018;Araranguá;
04/02/2018;Indaial;
04/02/2018;Xanxerê;
04/02/2018;São Miguel do Oeste;
04/02/2018;Laguna;
04/02/2018;Curitibanos;
04/02/2018;Rio Negrinho;
04/02/2018;Campos Novos;
04/02/2018;Itapoá;
04/02/2018;Joaçaba;
05/02/2018;Florianópolis;
05/02/2018;Itajaí;
05/02/2018;Chapecó;
05/02/2018;Lages;
05/02/2018;Caçador;
05/02/2018;Araranguá;
05/02/2018;Indaial;
05/02/2018;Xanxerê;
05/02/2018;São Miguel do Oeste;
05/02/2018;Laguna;
05/02/2018;Curitibanos;
05/02/2018;Rio Negrinho;
05/02/2018;Campos Novos;
05/02/2018;Itapoá;
05/02/2018;Joaçaba;
06/02/2018;Florianópolis;
06/02/2018;Itajaí;
06/02/2018;Chapecó;
06/02/2018;Lages;
06/02/2018;Caçador;
06/02/2018;Araranguá;
06/02/2018;Indaial;
06/02/2018;Xanxerê;
06/02/2018;São Miguel do Oeste;
06/02/2018;Laguna;
06/02/2018;Curitibanos;
06/02/2018;Rio Negrinho;
06/02/2018;Campos Novos;
06/02/2018;Itapoá;
06/02/2018;Joaçaba;
07/02/2018;Florianópolis;
07/02/2018;Itajaí;
07/02/2018;Chapecó;
07/02/2018;Lages;
07/02/2018;Caçador;
07/02/2018;Araranguá;
07/02/2018;Indaial;
07/02/2018;Xanxerê;
07/02/2018;São Miguel do Oeste;
07/02/2018;Laguna;
07/02/2018;Curitibanos;
07/02/2018;Rio Negrinho;
07/02/2018;Campos Novos;
07/02/2018;Itapoá;
07/02/2018;Joaçaba;
08/02/2018;Florianópolis;
08/02/2018;Itajaí;
08/02/2018;Chapecó;
08/02/2018;Lages;
08/02/2018;Caçador;
08/02/2018;Araranguá;
08/02/2018;Indaial;
08/02/2018;Xanxerê;
