"city","episode_id","start_date","end_date","duration_days","n_panic_days","peak_PBB","mean_PBB","is_extreme","year","is_pandemic","is_climate","is_geopol","crisis_type"
"Campos Novos",23,2019-11-29,2019-11-29,1,1,4.59227868932814,4.59227868932814,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",24,2019-12-07,2019-12-07,1,1,2.02277231816091,2.02277231816091,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",25,2019-12-20,2019-12-24,5,4,4.7773679682081,3.6530577602672,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",26,2019-12-30,2019-12-31,2,2,3.10560986307565,2.70167074409937,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",27,2020-02-01,2020-02-01,1,1,2.3651148347449,2.3651148347449,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",28,2020-02-10,2020-02-10,1,1,2.2371861780187,2.2371861780187,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",29,2020-02-29,2020-02-29,1,1,2.34671222507871,2.34671222507871,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",30,2020-03-06,2020-03-07,2,2,3.4372199880094,2.85826727239201,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",31,2020-03-17,2020-03-19,3,3,6.69714617074942,4.17697246216101,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",32,2020-03-31,2020-04-01,2,2,3.66617680089137,2.90044968115588,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",33,2020-04-07,2020-04-11,5,4,4.12531627380508,3.12070556290963,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",34,2020-04-22,2020-04-22,1,1,2.09057685647908,2.09057685647908,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",35,2020-04-30,2020-04-30,1,1,3.51047791873949,3.51047791873949,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",36,2020-05-08,2020-05-09,2,2,3.30095791000352,3.13550640679813,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",37,2020-05-29,2020-05-30,2,2,3.175009919723,3.03236633338974,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",38,2020-06-05,2020-06-06,2,2,3.73283892648107,3.28856624739706,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",39,2020-06-12,2020-06-12,1,1,2.96391194684106,2.96391194684106,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",40,2020-06-20,2020-06-20,1,1,2.12051717525184,2.12051717525184,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",41,2020-07-01,2020-07-04,4,3,3.06164927437285,2.67778207947887,1,2020,TRUE,TRUE,FALSE,"Climate"
"Campos Novos",42,2020-07-11,2020-07-11,1,1,2.28724429538345,2.28724429538345,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",43,2020-07-25,2020-07-25,1,1,2.11176182624815,2.11176182624815,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",44,2020-07-31,2020-08-01,2,2,3.83592788577229,2.93829855222653,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",45,2020-08-06,2020-08-08,3,3,3.57816780088706,2.89620355609399,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",46,2020-08-20,2020-08-20,1,1,6.06922441180233,6.06922441180233,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",47,2020-08-28,2020-09-05,9,5,4.56864120705401,3.3751870466095,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",48,2020-09-09,2020-09-09,1,1,5.09112331184326,5.09112331184326,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",49,2020-09-15,2020-09-15,1,1,2.17019387087344,2.17019387087344,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",50,2020-09-30,2020-10-03,4,3,4.25840814489743,3.27611324403241,1,2020,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",51,2020-10-09,2020-10-10,2,2,2.84432023478851,2.60119690068814,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",52,2020-10-29,2020-10-31,3,3,4.28983326977468,3.11788795176248,1,2020,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",53,2020-11-07,2020-11-07,1,1,3.46947082814765,3.46947082814765,1,2020,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",54,2020-11-27,2020-11-28,2,2,2.91732081501981,2.55369379089838,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",55,2020-12-05,2020-12-05,1,1,2.211332339215,2.211332339215,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",56,2020-12-18,2020-12-24,7,5,4.80897682556055,3.59345375987539,1,2020,TRUE,TRUE,FALSE,"Climate"
"Campos Novos",57,2020-12-30,2020-12-31,2,2,4.01212923977595,3.71090711038812,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",58,2021-01-29,2021-01-30,2,2,2.54867532869318,2.38220545710074,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",59,2021-02-06,2021-02-06,1,1,3.08725109880481,3.08725109880481,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",60,2021-02-26,2021-02-27,2,2,3.26770038557903,3.10778546338497,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",61,2021-03-05,2021-03-06,2,2,3.65042038490199,2.90504149995407,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",62,2021-03-13,2021-03-13,1,1,2.02935723547858,2.02935723547858,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",63,2021-03-20,2021-03-20,1,1,2.17243280531968,2.17243280531968,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",64,2021-04-01,2021-04-03,3,2,5.3217704813234,4.64691033628664,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",65,2021-04-10,2021-04-10,1,1,2.07202951055118,2.07202951055118,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",66,2021-04-30,2021-05-01,2,2,3.54166810895144,3.04228866903085,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",67,2021-05-06,2021-05-08,3,3,3.20693955743273,2.85431027957579,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",68,2021-06-01,2021-06-05,5,3,2.76826260436989,2.40625417818653,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",69,2021-06-12,2021-06-12,1,1,2.85144742033603,2.85144742033603,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",70,2021-06-29,2021-07-10,12,7,2.98831230597295,2.40234391025317,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",71,2021-07-24,2021-07-24,1,1,2.14542238989105,2.14542238989105,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",72,2021-07-30,2021-07-31,2,2,2.99448058219038,2.99165717408232,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",73,2021-08-05,2021-08-08,4,4,3.81573880406332,2.81229788115511,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",74,2021-08-28,2021-09-04,8,4,3.98937704953613,2.84518789978057,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",75,2021-09-15,2021-09-15,1,1,2.00823286408554,2.00823286408554,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",76,2021-09-30,2021-10-02,3,3,3.01694074470155,2.82968314807607,1,2021,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",77,2021-10-07,2021-10-09,3,2,2.56680165670642,2.32331753789059,0,2021,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",78,2021-10-29,2021-10-30,2,2,3.45245614255338,2.81012616726913,1,2021,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",79,2021-11-06,2021-11-06,1,1,2.82864838565312,2.82864838565312,0,2021,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",80,2021-11-20,2021-11-20,1,1,2.68949123734766,2.68949123734766,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",81,2021-11-30,2021-11-30,1,1,2.80735456284206,2.80735456284206,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",82,2021-12-04,2021-12-04,1,1,2.13626959704412,2.13626959704412,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",83,2021-12-17,2021-12-24,8,7,4.62046584385327,3.36375322682062,1,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",84,2021-12-30,2021-12-30,1,1,2.78199408349741,2.78199408349741,0,2021,TRUE,FALSE,FALSE,"Pandemic"
"Campos Novos",85,2022-04-14,2022-04-14,1,1,2.03144165450734,2.03144165450734,0,2022,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",86,2022-12-21,2022-12-22,2,2,2.18975481073677,2.16329282679733,0,2022,FALSE,TRUE,FALSE,"Climate"
"Campos Novos",87,2024-02-19,2024-02-19,1,1,2.00471137482105,2.00471137482105,0,2024,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",88,2024-03-28,2024-03-28,1,1,2.45153238646422,2.45153238646422,0,2024,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",89,2024-04-26,2024-04-26,1,1,6.61781904724936,6.61781904724936,1,2024,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",90,2024-12-20,2024-12-20,1,1,2.00938074590086,2.00938074590086,0,2024,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",91,2025-01-28,2025-01-28,1,1,2.38645413687232,2.38645413687232,0,2025,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",92,2025-02-18,2025-02-18,1,1,2.28806161073396,2.28806161073396,0,2025,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",93,2025-03-10,2025-03-10,1,1,2.51639351132164,2.51639351132164,0,2025,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",94,2025-03-24,2025-03-24,1,1,2.01498023930439,2.01498023930439,0,2025,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",95,2025-07-30,2025-07-30,1,1,2.84547187017746,2.84547187017746,0,2025,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",96,2025-10-01,2025-10-01,1,1,2.50647099222,2.50647099222,0,2025,FALSE,FALSE,FALSE,"Unattributed"
"Campos Novos",97,2025-11-30,2025-11-30,1,1,3.75803720490941,3.75803720490941,1,2025,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",1,2018-03-29,2018-03-29,1,1,2.18378349410992,2.18378349410992,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",2,2018-06-01,2018-06-01,1,1,2.10387793941473,2.10387793941473,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",3,2018-08-04,2018-08-04,1,1,2.0185430636649,2.0185430636649,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",4,2018-09-06,2018-09-08,3,2,2.7820448792958,2.67627831322719,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",5,2018-10-06,2018-10-06,1,1,2.2535293965645,2.2535293965645,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",6,2018-11-03,2018-11-03,1,1,2.09592035856361,2.09592035856361,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",7,2018-12-24,2018-12-24,1,1,2.58122361496168,2.58122361496168,0,2018,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",8,2019-06-03,2019-06-03,1,1,5.50712923462326,5.50712923462326,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",9,2019-08-06,2019-08-06,1,1,2.5449306189908,2.5449306189908,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",10,2019-08-28,2019-08-28,1,1,5.79425842445604,5.79425842445604,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",11,2019-09-14,2019-09-14,1,1,2.40888532713917,2.40888532713917,0,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",12,2019-10-04,2019-10-04,1,1,3.56210559541213,3.56210559541213,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",13,2019-10-09,2019-10-09,1,1,5.15836087853159,5.15836087853159,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",14,2019-12-24,2019-12-24,1,1,3.20872995414076,3.20872995414076,1,2019,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",15,2020-01-07,2020-01-07,1,1,2.9179441412804,2.9179441412804,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",16,2020-02-06,2020-02-06,1,1,2.06781120822959,2.06781120822959,0,2020,FALSE,FALSE,FALSE,"Unattributed"
"Caçador",17,2020-03-18,2020-03-18,1,1,3.94571865594281,3.94571865594281,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Caçador",18,2020-03-29,2020-03-29,1,1,3.55072896390981,3.55072896390981,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Caçador",19,2020-04-11,2020-04-11,1,1,2.22546611910013,2.22546611910013,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Caçador",20,2020-05-02,2020-05-02,1,1,3.3314129039951,3.3314129039951,1,2020,TRUE,FALSE,FALSE,"Pandemic"
"Caçador",21,2020-06-06,2020-06-06,1,1,2.13759065201183,2.13759065201183,0,2020,TRUE,FALSE,FALSE,"Pandemic"
"Caçador",22,2020-08-31,2020-08-31,1,1,2.14325555264894,2.14325555264894,0,2020,TRUE,FALSE,FALSE,"Pandemic"
